Name,Modalitats preferides,Disponibilitat,,,,,,,,,,,
amartinezserra,Ciències pures,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
jrescude6,Ciències pures,'10 març: 15-17H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
5695jgv,Salut,'10 març: 11-14H, 11 març: 11-14H, 12 març: 11-14H',,,,,,,,,,,
emraproyecto29,Naturals | Medi ambient,'10 març: 15-17H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
carme.hervada,Ciències pures,'10 març: 11-14H, 11 març: 11-14H, 12 març: 11-14H',,,,,,,,,,,
cblagon,Naturals | Medi ambient,12 març: 11-14H,,,,,,,,,,,
joseluis.maestro,Naturals | Medi ambient,11 març: 11-14H,,,,,,,,,,,
bertaestevezarias,Salut,12 març: 11-14H,,,,,,,,,,,
dcalderon,Art | Música | Pensament,'10 març: 11-14H, 11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
laia.josacullere,Ciències pures,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
gerard,Ciències pures,'10 març: 15-17H, 11 març: 11-14H',,,,,,,,,,,
mpmenoyodiaz,Ciències pures,'10 març: 11-14H, 11 març: 11-14H',,,,,,,,,,,
ivan.company.garrido,Salut,'10 març: 15-17H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
mary.vc3,Naturals | Medi ambient,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H, 12 març: 11-14H',,,,,,,,,,,
adria.perez,Ciències pures,'10 març: 11-14H, 11 març: 11-14H, 12 març: 11-14H',,,,,,,,,,,
mariaquinverd,Salut,12 març: 11-14H,,,,,,,,,,,
slozanop,Socials | Comunicació | Llengua | Economia | Història,10 març: 15-17H,,,,,,,,,,,
anna.vila,Ciències pures,'10 març: 15-17H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
joan.bausells,Ciències pures,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H',,,,,,,,,,,
lbautista4949,Art | Música | Pensament,12 març: 11-14H,,,,,,,,,,,
brunet,Ciències pures,12 març: 11-14H,,,,,,,,,,,
judith.tello,Tecnologia,'10 març: 15-17H, 11 març: 11-14H',,,,,,,,,,,
villasevil,Tecnologia,'11 març: 11-14H, 12 març: 11-14H',,,,,,,,,,,
rgonzalezm,Ciències pures,11 març: 11-14H,,,,,,,,,,,
anna.drou,Ciències pures,'10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
mbatll39,Ciències pures,12 març: 11-14H,,,,,,,,,,,
aitor.pomposo,Ciències pures,'10 març: 15-17H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
paudsoto,Socials | Comunicació | Llengua | Economia | Història,12 març: 11-14H,,,,,,,,,,,
lcabana,Ciències pures,'10 març: 11-14H, 11 març: 11-14H, 12 març: 11-14H',,,,,,,,,,,
cristina,Naturals | Medi ambient,11 març: 11-14H,,,,,,,,,,,
jperezg1985,Socials | Comunicació | Llengua | Economia | Història,'10 març: 11-14H, 10 març: 15-17H',,,,,,,,,,,
puyol,Art | Música | Pensament,'10 març: 11-14H, 10 març: 15-17H',,,,,,,,,,,
laia.perez.sorribes,Naturals | Medi ambient,12 març: 11-14H,,,,,,,,,,,
irma.roig,Naturals | Medi ambient,12 març: 11-14H,,,,,,,,,,,
jlfernandez,Naturals | Medi ambient,'11 març: 11-14H,  11 març: 15-17H',,,,,,,,,,,
lorenzotto29,Ciències pures,12 març: 11-14H,,,,,,,,,,,
georgina.terra…,Naturals | Medi ambient,10 març: 11-14H,,,,,,,,,,,
irene.merino,Naturals | Medi ambient,10 març: 11-14H,,,,,,,,,,,
ainhoa.zaldua,Tecnologia,10 març: 11-14H,,,,,,,,,,,
felix.trallero,Tecnologia,11 març: 15-17H,,,,,,,,,,,
judit.taberna,Art | Música | Pensament,10 març: 11-14H,,,,,,,,,,,
albaengarcia,Naturals | Medi ambient,'10 març: 15-17H,  11 març: 15-17H',,,,,,,,,,,
rai.alvarez93,Ciències pures,10 març: 11-14H,,,,,,,,,,,
manelsegura777,Tecnologia,11 març: 15-17H,,,,,,,,,,,
laura.cuesta,Art | Música | Pensament,'10 març: 11-14H, 11 març: 11-14H, 12 març: 11-14H',,,,,,,,,,,
agonz459,Naturals | Medi ambient,12 març: 11-14H,,,,,,,,,,,
salvador.prats,Naturals | Medi ambient,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H',,,,,,,,,,,
mariasantmedir,Naturals | Medi ambient,'10 març: 15-17H,  11 març: 15-17H',,,,,,,,,,,
tpadrosa,Naturals | Medi ambient,'10 març: 11-14H, 11 març: 11-14H, 12 març: 11-14H',,,,,,,,,,,
pol.gustems,Art | Música | Pensament,'10 març: 15-17H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
joaquimbruna,Ciències pures,'10 març: 11-14H, 11 març: 11-14H',,,,,,,,,,,
carlesgalia,Naturals | Medi ambient,'10 març: 15-17H,  11 març: 15-17H',,,,,,,,,,,
acasadesus,Naturals | Medi ambient,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H',,,,,,,,,,,
damaris.samper,Ciències pures,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
oloesl,Ciències pures,'10 març: 15-17H,  11 març: 15-17H',,,,,,,,,,,
josep.llobet,Ciències pures,'10 març: 11-14H, 11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,, 11 març: 15-17H, 12 març: 11-14H"
jjorda,Naturals | Medi ambient,' 11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
eulalia.mascarenas,Art | Música | Pensament,'11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
laurabm98,Salut,12 març: 11-14H,,,,,,,,,,,
nsanz2,Ciències pures,'10 març: 15-17H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
manuel.merchan,Tecnologia,12 març: 11-14H,,,,,,,,,,,
jmorral,Naturals | Medi ambient,'10 març: 11-14H, 10 març: 15-17H',,,,,,,,,,,
jordipijuan,Salut,12 març: 11-14H,,,,,,,,,,,
salomepmatos,Ciències pures,12 març: 11-14H,,,,,,,,,,,
annaaltisent17,Salut,12 març: 11-14H,,,,,,,,,,,
pau.morales,Socials | Comunicació | Llengua | Economia | Història,' 11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
juditsm,Salut,'10 març: 15-17H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
aina.barcelo,Tecnologia,12 març: 11-14H,,,,,,,,,,,
amunoz20,Naturals | Medi ambient,12 març: 11-14H,,,,,,,,,,,
jmacia1,Art | Música | Pensament,12 març: 11-14H,,,,,,,,,,,
soraya.feliz,Art | Música | Pensament,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H',,,,,,,,,,,
tgarnatje,Naturals | Medi ambient,'10 març: 11-14H, 10 març: 15-17H, 11 març: 11-14H,  11 març: 15-17H, 12 març: 11-14H',,,,,,,,,,,
mnegredo,Salut,10 març: 11-14H,,,,,,,,,,,
lembruix,Ciències pures,12 març: 11-14H,,,,,,,,,,,
